gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2842411151	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/138250606	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.549061	98.119203	25.0						2017-04-12	12	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 58335			2026-04-30T14:33:45.751Z		
2840408945	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/138250590	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	40	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.534871	98.113278	25.0						2017-04-13	13	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 58335			2026-04-30T14:33:58.374Z		
2840359760	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/138250572	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.546918	98.119631	25.0						2017-04-17	17	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 58335			2026-04-30T14:29:03.295Z		
2840204986	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/138250607	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.550772	98.124805	25.0						2017-04-12	12	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 58335			2026-04-30T14:23:10.373Z		
2840161761	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/136886824	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.547511	98.1204	25.0						2017-04-12	12	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 131018			2026-04-30T14:33:48.490Z		
2840156054	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/138250581	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	30	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.549096	98.110944	25.0						2017-04-13	13	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 58335			2026-04-30T14:26:29.255Z	StillImage	
2836640582	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/136886816	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	5	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.546928	98.118861	25.0						2017-04-17	17	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 131018			2026-04-30T14:28:49.888Z		
2836349173	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/114704870	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Bali	Bali	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.56118	115.479183	1000.0						2016-02-16	16	2	2016	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 50424			2026-04-30T14:22:54.944Z	StillImage	
2833242303	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/164881449	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Bali	Bali	PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	-8.5199	115.257227	10.0						2018-10-28	28	10	2018	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 64583			2026-04-30T14:31:20.637Z		
2833033707	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/138250551	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis	fascicularis	SUBSPECIES	Macaca fascicularis fascicularis (Raffles, 1821)	Macaca fascicularis fascicularis		ID	Sumatera Utara	Sumatra - Sumatera Utara	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	3.547513	98.124831	25.0						2017-04-17	17	4	2017	7262038	2436603	HUMAN_OBSERVATION							CC_BY_NC_4_0	Stichting Observation International	User 58335			2026-04-30T14:34:09.793Z		
